@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1848,'2017/11/30 12:02:58:696',3,1,0.963126,0.932601,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1849,'2017/11/30 12:02:58:721',3,1,0.963126,0.932601,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1850,'2017/11/30 12:02:58:721',3,1,0.963126,0.933089,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1851,'2017/11/30 12:02:58:721',3,1,0.963126,0.933089,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1852,'2017/11/30 12:02:58:721',3,1,0.963126,0.933089,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1853,'2017/11/30 12:02:58:746',3,1,0.963126,0.933089,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1854,'2017/11/30 12:02:58:746',3,1,0.963126,0.933822,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1855,'2017/11/30 12:02:58:746',3,1,0.963614,0.933822,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1856,'2017/11/30 12:02:58:746',3,1,0.963614,0.933822,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1857,'2017/11/30 12:02:58:771',3,1,0.963614,0.933822,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1858,'2017/11/30 12:02:58:771',3,1,0.963614,0.933333,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1859,'2017/11/30 12:02:58:771',3,1,0.96337,0.933333,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1860,'2017/11/30 12:02:58:771',3,1,0.96337,0.933333,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1861,'2017/11/30 12:02:58:796',3,1,0.96337,0.933333,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1862,'2017/11/30 12:02:58:796',3,1,0.96337,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1863,'2017/11/30 12:02:58:796',3,1,0.962882,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1864,'2017/11/30 12:02:58:796',3,1,0.962882,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1865,'2017/11/30 12:02:58:821',3,1,0.962882,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
